,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6463,PA DUFFERIN AND ST. CLAIR CIBC,ONTARIO,6156157,53838,,L1B,43.68,-79.44,434041500,-792634600,173.5,2015,2015,2015.0,2015.0,,,,
6464,PA CLAREMONT SILO FARM,ONTARIO,6156158,52706,,L3F,43.99,-79.1,435937900,-790543900,263.5,2014,2015,2014.0,2015.0,,,,
6465,PA TORONTO INTERNATIONAL TRAP AND SKEET,ONTARIO,6156159,52731,,Z5N,44.19,-79.66,441108100,-793950800,234.5,2014,2015,2014.0,2015.0,,,,
6466,PA CONCORD RYDER,ONTARIO,6156160,52699,,L1F,43.82,-79.52,434903200,-793124200,226.5,2014,2015,2014.0,2015.0,,,,
6467,PA DOWNSVIEW PARK,ONTARIO,6156161,52698,,L1E,43.75,-79.48,434451800,-792847600,207.5,2014,2015,2014.0,2015.0,,,,
6468,PA KING CITY,ONTARIO,6156162,53778,,L2D,43.96,-79.57,435750490,-793421790,366.5,2015,2018,2015.0,2018.0,2018.0,2018.0,,
6469,PA HERSHEY CENTRE,ONTARIO,6156164,52732,,Z1W,43.63,-79.66,433757600,-793922800,203.5,2014,2015,2014.0,2015.0,,,,
6470,PA MARKHAM NORTH TOYOTA,ONTARIO,6156165,52700,,L2F,43.82,-79.34,434901000,-792033810,187.5,2014,2015,2014.0,2015.0,,,,
6471,PA BOUSFIELD FARMS,ONTARIO,6156166,52733,,Z2W,43.48,-79.89,432838800,-795330400,197.5,2014,2015,2014.0,2015.0,,,,
6472,PA TORONTO NORTH YORK MOTORS,ONTARIO,6156168,52678,,L1D,43.72,-79.47,434307100,-792807400,186.5,2014,2015,2014.0,2015.0,,,,
6473,PA GENERAL MOTORS CENTRE,ONTARIO,6156169,52727,,Z5E,43.9,-78.86,435350500,-785132500,125.5,2014,2015,2014.0,2015.0,,,,
6474,PA DOWNSVIEW,ONTARIO,6156170,53760,,L2C,43.78,-79.47,434649300,-792802500,198.5,2015,2018,2015.0,2018.0,,,,
6475,PA ROYAL CANADIAN YACHT CLUB,ONTARIO,6156171,52618,,Z2D,43.64,-79.35,433822300,-792053700,84.5,2014,2015,2014.0,2015.0,,,,
6476,PA SCARBOROUGH TORONTO HUNT,ONTARIO,6156172,52641,,L2A,43.68,-79.27,434100000,-791614900,133.5,2014,2015,2014.0,2015.0,,,,
6477,PA STONEY CREEK CARDINAL SCHOOL,ONTARIO,6156174,52720,,L5A,43.22,-79.75,431320600,-794442600,104.5,2014,2015,2014.0,2015.0,,,,
6478,PA MATTAMY ATHLETIC CENTRE,ONTARIO,6156175,52723,,Z1D,43.66,-79.38,433942720,-792248540,137.5,2014,2015,2014.0,2015.0,,,,
6479,PA TORONTO HYUNDAI,ONTARIO,6156177,52640,,L1C,43.7,-79.45,434156200,-792705700,186.5,2014,2015,2014.0,2015.0,,,,
6480,PA U OF T SCARBOROUGH TENNIS CENTRE,ONTARIO,6156179,52724,,Z1E,43.78,-79.19,434648300,-791107400,116.5,2014,2015,2014.0,2015.0,,,,
6481,PA MONOPOLY PROPERTY MANAGEMENT,ONTARIO,6156180,52725,,Z2E,43.86,-79.31,435127000,-791829600,176.5,2014,2015,2014.0,2015.0,,,,
6482,PA UXBRIDGE LEE ACRES,ONTARIO,6156181,52718,,L3H,44.17,-79.21,441015700,-791237800,290.5,2015,2015,2015.0,2015.0,,,,
6483,PA UXBRIDGE TARIS,ONTARIO,6156182,52707,,L3G,44.05,-79.12,440316000,-790655000,359.5,2014,2015,2014.0,2015.0,,,,
6484,PA YORK UNIVERSITY,ONTARIO,6156183,53758,,L2B,43.78,-79.51,434631200,-793035900,200.5,2015,2015,2015.0,2015.0,,,,
6485,PA WHITBY ABILITIES CENTRE,ONTARIO,6156184,52726,,Z4E,43.86,-78.94,435140600,-785638500,99.5,2014,2015,2014.0,2015.0,,,,
6486,PA ANGUS GLEN GOLF CLUB,ONTARIO,6156186,52638,,Z3E,43.91,-79.32,435429800,-791923400,230.5,2014,2015,2014.0,2015.0,,,,
6487,PA HAMILTON SOCCER,ONTARIO,6156187,53759,,Z3W,43.25,-79.83,431503600,-794946400,93.5,2015,2015,2015.0,2015.0,,,,
